id,kodeunit,namaunit,bulan,jumlah,tahun,created_at
172.0,11500.0,Fakultas Vokasi,1900-05-01,2377765549.0,2019-01-01,2023-09-18 10:27:28.20934
173.0,11500.0,Fakultas Vokasi,1900-06-01,1028641795.0,2019-01-01,2023-09-18 10:27:28.276078
174.0,11500.0,Fakultas Vokasi,1900-07-01,1363519680.0,2019-01-01,2023-09-18 10:27:28.542285
175.0,11500.0,Fakultas Vokasi,1900-08-01,999637569.0,2019-01-01,2023-09-18 10:27:28.635218
176.0,11500.0,Fakultas Vokasi,1900-09-01,1361869643.0,2019-01-01,2023-09-18 10:27:28.69311
177.0,11500.0,Fakultas Vokasi,1900-10-01,1715135071.0,2019-01-01,2023-09-18 10:27:28.759863
178.0,11500.0,Fakultas Vokasi,1900-11-01,1283279734.0,2019-01-01,2023-09-18 10:27:28.809634
179.0,11500.0,Fakultas Vokasi,1900-12-01,3363322649.0,2019-01-01,2023-09-18 10:27:28.863025
180.0,11600.0,Sekolah Ilmu Kesehatan dan Ilmu Alam (SIKIA),1900-01-01,101881533.0,2019-01-01,2023-09-18 10:27:28.901287
181.0,11600.0,Sekolah Ilmu Kesehatan dan Ilmu Alam (SIKIA),1900-02-01,224192238.0,2019-01-01,2023-09-18 10:27:28.935088
182.0,11600.0,Sekolah Ilmu Kesehatan dan Ilmu Alam (SIKIA),1900-03-01,264914011.0,2019-01-01,2023-09-18 10:27:28.968423
183.0,11600.0,Sekolah Ilmu Kesehatan dan Ilmu Alam (SIKIA),1900-04-01,643697427.0,2019-01-01,2023-09-18 10:27:29.009801
184.0,11600.0,Sekolah Ilmu Kesehatan dan Ilmu Alam (SIKIA),1900-05-01,605450895.0,2019-01-01,2023-09-18 10:27:29.051531
185.0,11600.0,Sekolah Ilmu Kesehatan dan Ilmu Alam (SIKIA),1900-06-01,472629947.0,2019-01-01,2023-09-18 10:27:29.084814
186.0,11600.0,Sekolah Ilmu Kesehatan dan Ilmu Alam (SIKIA),1900-07-01,387670094.0,2019-01-01,2023-09-18 10:27:29.134917
187.0,11600.0,Sekolah Ilmu Kesehatan dan Ilmu Alam (SIKIA),1900-08-01,631488392.0,2019-01-01,2023-09-18 10:27:29.168343
188.0,11600.0,Sekolah Ilmu Kesehatan dan Ilmu Alam (SIKIA),1900-09-01,860502815.0,2019-01-01,2023-09-18 10:27:29.201866
189.0,11600.0,Sekolah Ilmu Kesehatan dan Ilmu Alam (SIKIA),1900-10-01,982778159.0,2019-01-01,2023-09-18 10:27:29.235198
190.0,11600.0,Sekolah Ilmu Kesehatan dan Ilmu Alam (SIKIA),1900-11-01,901345938.0,2019-01-01,2023-09-18 10:27:29.292471
191.0,11600.0,Sekolah Ilmu Kesehatan dan Ilmu Alam (SIKIA),1900-12-01,1661849406.0,2019-01-01,2023-09-18 10:27:29.335162
192.0,11700.0,Vokasi Keperawatan Lamongan,1900-01-01,44580481.0,2019-01-01,2023-09-18 10:27:29.368455
193.0,11700.0,Vokasi Keperawatan Lamongan,1900-02-01,63315069.0,2019-01-01,2023-09-18 10:27:29.401766
194.0,11700.0,Vokasi Keperawatan Lamongan,1900-03-01,55442440.0,2019-01-01,2023-09-18 10:27:29.435024
195.0,11700.0,Vokasi Keperawatan Lamongan,1900-04-01,60238568.0,2019-01-01,2023-09-18 10:27:29.46869
196.0,11700.0,Vokasi Keperawatan Lamongan,1900-05-01,76838022.0,2019-01-01,2023-09-18 10:27:29.532046
197.0,11700.0,Vokasi Keperawatan Lamongan,1900-06-01,50927149.0,2019-01-01,2023-09-18 10:27:29.576369
198.0,11700.0,Vokasi Keperawatan Lamongan,1900-07-01,50579293.0,2019-01-01,2023-09-18 10:27:29.618791
199.0,11700.0,Vokasi Keperawatan Lamongan,1900-08-01,98763871.0,2019-01-01,2023-09-18 10:27:29.652783
200.0,11700.0,Vokasi Keperawatan Lamongan,1900-09-01,121247959.0,2019-01-01,2023-09-18 10:27:29.735823
201.0,11700.0,Vokasi Keperawatan Lamongan,1900-10-01,200754615.0,2019-01-01,2023-09-18 10:27:29.769294
202.0,11700.0,Vokasi Keperawatan Lamongan,1900-11-01,163199100.0,2019-01-01,2023-09-18 10:27:29.819314
203.0,11700.0,Vokasi Keperawatan Lamongan,1900-12-01,118916378.0,2019-01-01,2023-09-18 10:27:29.852359
204.0,11800.0,Vokasi Keperawatan Gresik,1900-04-01,134705138.0,2019-01-01,2023-09-18 10:27:29.90284
205.0,11800.0,Vokasi Keperawatan Gresik,1900-05-01,143484641.0,2019-01-01,2023-09-18 10:27:29.978218
206.0,11800.0,Vokasi Keperawatan Gresik,1900-06-01,32655000.0,2019-01-01,2023-09-18 10:27:30.011578
207.0,11800.0,Vokasi Keperawatan Gresik,1900-07-01,63760000.0,2019-01-01,2023-09-18 10:27:30.079475
208.0,11800.0,Vokasi Keperawatan Gresik,1900-08-01,76070000.0,2019-01-01,2023-09-18 10:27:30.146564
209.0,11800.0,Vokasi Keperawatan Gresik,1900-09-01,123534417.0,2019-01-01,2023-09-18 10:27:30.212606
210.0,11800.0,Vokasi Keperawatan Gresik,1900-10-01,137631610.0,2019-01-01,2023-09-18 10:27:30.262773
211.0,11800.0,Vokasi Keperawatan Gresik,1900-11-01,164103767.0,2019-01-01,2023-09-18 10:27:30.346622
212.0,11800.0,Vokasi Keperawatan Gresik,1900-12-01,160326327.0,2019-01-01,2023-09-18 10:27:30.430464
213.0,10100.0,Fakultas Kedokteran,1900-02-01,1039641939.0,2020-01-01,2023-09-18 10:27:39.280686
214.0,10100.0,Fakultas Kedokteran,1900-03-01,3177767417.0,2020-01-01,2023-09-18 10:27:39.383292
215.0,10100.0,Fakultas Kedokteran,1900-04-01,899466779.0,2020-01-01,2023-09-18 10:27:39.465463
216.0,10100.0,Fakultas Kedokteran,1900-05-01,4307772556.0,2020-01-01,2023-09-18 10:27:39.511709
217.0,10100.0,Fakultas Kedokteran,1900-06-01,1736802295.0,2020-01-01,2023-09-18 10:27:39.620438
218.0,10100.0,Fakultas Kedokteran,1900-07-01,1505860592.0,2020-01-01,2023-09-18 10:27:39.674296
219.0,10100.0,Fakultas Kedokteran,1900-08-01,2530074791.0,2020-01-01,2023-09-18 10:27:39.720128
220.0,10100.0,Fakultas Kedokteran,1900-09-01,3459626519.0,2020-01-01,2023-09-18 10:27:39.770186
221.0,10100.0,Fakultas Kedokteran,1900-10-01,4078828320.0,2020-01-01,2023-09-18 10:27:39.80372
222.0,10100.0,Fakultas Kedokteran,1900-11-01,6252391458.0,2020-01-01,2023-09-18 10:27:40.001387
223.0,10100.0,Fakultas Kedokteran,1900-12-01,16734485177.0,2020-01-01,2023-09-18 10:27:40.053574
224.0,10200.0,Fakultas Kedokteran Gigi,1900-01-01,155814376.0,2020-01-01,2023-09-18 10:27:40.087104
225.0,10200.0,Fakultas Kedokteran Gigi,1900-02-01,738415524.0,2020-01-01,2023-09-18 10:27:40.136984
